"method","measure","pp_counts","item_counts","interactions","Estimate","SE","df","t","p"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0141938566332025","0.0479075901201432","210.948302195346","-0.296275738303826","0.767310988870498"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.017855321742332","0.0511464959938886","212.367742835795","-0.349101563955926","0.727358953563682"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0477424607913893","0.0511464959938887","212.367742835795","0.933445387873568","0.351650129613395"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0234614866605282","0.0478710584716813","244.992757041666","0.490097512141018","0.62450349876748"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0179693722779906","0.0478710584716813","244.992757041666","-0.375370272805239","0.707709890165417"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0556266974084755","0.0513052132929725","211.990029900636","1.08423089659185","0.279493981843887"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0103618468363382","0.0513052132929725","211.990029900636","0.201964794048668","0.840137925447087"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0476291241059579","0.0469953217114402","223.432091551727","1.01348649975011","0.311924079015692"
"motr","gaze_duration","12","24","Gram_x_Lex","0.111620658570337","0.0469953217114402","223.432091551727","2.37514404637355","0.0183875830417358"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.0369106094683094","0.0479602390319884","234.420217617874","-0.769608538516474","0.442306929657272"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0354377315674539","0.0479602390319884","234.420217617874","0.738898143185185","0.460708026201108"
"motr","gaze_duration","12","24","Gram_x_Synt","0.00997890007117047","0.0499902740856738","230.866504948381","0.199616830547249","0.841955971115591"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0304240983137502","0.0499902740856738","230.866504948381","0.608600350172298","0.543387704047138"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0665629531536091","0.0476447165905456","213.522324921656","1.39706892845318","0.163843020716359"
"motr","gaze_duration","12","24","Gram_x_Lex","0.00442048790087794","0.0476447165905456","213.522324921656","0.0927802328822147","0.926165148916468"
"motr","gaze_duration","12","24","Gram_x_Synt","0.101615291670584","0.0479530229152027","235.737822264319","2.11905914357629","0.0351315502124113"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0487376080933011","0.0479530229152027","235.737822264319","-1.01636153740476","0.310499229441574"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0194621036265999","0.0459124261514744","213.217632929601","0.423896214118385","0.67206883988176"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0566428485547683","0.0459124261514744","213.217632929601","-1.23371499401691","0.218667341195958"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0632565010746598","0.0464081153602815","237.240461127831","1.36304826394217","0.174159565031595"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0689570889591928","0.0464081153602815","237.240461127831","-1.48588427743416","0.13863738045016"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.000360470288677553","0.0457924393036889","213.012999628125","-0.00787182980768869","0.993726620667995"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0303080370857278","0.0457924393036889","213.012999628125","0.661856794409428","0.508778353957623"
"motr","gaze_duration","12","24","Gram_x_Synt","0.00477478521071945","0.0524253131878942","223.012024866959","0.0910778576296997","0.927512479763029"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.00605865989736369","0.0524253131878942","223.012024866959","-0.115567452609186","0.908099351582189"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.0839792722162154","0.0473091021378099","222.224379510096","-1.77511870700032","0.0772470749873081"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0153497820259491","0.04730910213781","222.224379510096","-0.324457267889711","0.745897072238499"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0644366632709047","0.0477705093778465","234.636214673764","1.34887955163373","0.178676009920374"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0343298644950066","0.0477705093778465","234.636214673764","-0.718641373979718","0.473076938019567"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0204140872778767","0.0485438223498956","238.785200981429","0.420529045503163","0.67447721610181"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0365437631947899","0.0485438223498957","238.785200981429","-0.752799458835125","0.452311939546568"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0780369493137085","0.0474154430124405","257.000101811233","1.64581293257629","0.101024647633466"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0525776197974273","0.0474154430124405","257.000101811233","-1.10887121277413","0.268522325190151"
